"_id","activity","bpu","experimentId","population","response","username"
"ObjectId(""5a36753690789136ad075158"")","-1","eug10","ObjectId(""5a36753690789136ad075158"")","-1","0.0140090634899","scripterResponse"
"ObjectId(""5a3676e890789136ad07515b"")","180.078125","eug8","ObjectId(""5a3676e890789136ad07515b"")","-1","-1","scripterActivity"
"ObjectId(""5a3678dd90789136ad07515e"")","-1","eug6","ObjectId(""5a3678dd90789136ad07515e"")","214","-1","scripterPopulation"
"ObjectId(""5a367b5990789136ad075161"")","175.911458333","eug16","ObjectId(""5a367b5990789136ad075161"")","-1","-1","scripterActivity"
"ObjectId(""5a367c3e90789136ad075162"")","169.791666667","eug10","ObjectId(""5a367c3e90789136ad075162"")","-1","-1","scripterActivity"
"ObjectId(""5a367df190789136ad075165"")","-1","eug8","ObjectId(""5a367df190789136ad075165"")","73","-1","scripterPopulation"
"ObjectId(""5a367fe690789136ad075168"")","-1","eug6","ObjectId(""5a367fe690789136ad075168"")","-1","0","scripterResponse"
"ObjectId(""5a36826190789136ad07516b"")","-1","eug16","ObjectId(""5a36826190789136ad07516b"")","8","-1","scripterPopulation"
"ObjectId(""5a36834790789136ad07516c"")","-1","eug10","ObjectId(""5a36834790789136ad07516c"")","52","-1","scripterPopulation"
"ObjectId(""5a3684f990789136ad07516f"")","-1","eug8","ObjectId(""5a3684f990789136ad07516f"")","-1","0","scripterResponse"
"ObjectId(""5a3686ee90789136ad075172"")","221.196209016","eug6","ObjectId(""5a3686ee90789136ad075172"")","-1","-1","scripterActivity"
"ObjectId(""5a36896a90789136ad075175"")","-1","eug16","ObjectId(""5a36896a90789136ad075175"")","-1","1.05854569284","scripterResponse"
"ObjectId(""5a368a4f90789136ad075176"")","-1","eug10","ObjectId(""5a368a4f90789136ad075176"")","-1","0","scripterResponse"
"ObjectId(""5a368c0290789136ad075179"")","179.657451923","eug8","ObjectId(""5a368c0290789136ad075179"")","-1","-1","scripterActivity"
"ObjectId(""5a368df690789136ad07517c"")","-1","eug6","ObjectId(""5a368df690789136ad07517c"")","165","-1","scripterPopulation"
"ObjectId(""5a36907390789136ad07517f"")","177.138157895","eug16","ObjectId(""5a36907390789136ad07517f"")","-1","-1","scripterActivity"
"ObjectId(""5a36915890789136ad075180"")","167.860576923","eug10","ObjectId(""5a36915890789136ad075180"")","-1","-1","scripterActivity"
"ObjectId(""5a36930b90789136ad075183"")","-1","eug8","ObjectId(""5a36930b90789136ad075183"")","61","-1","scripterPopulation"
"ObjectId(""5a3694ff90789136ad075186"")","-1","eug6","ObjectId(""5a3694ff90789136ad075186"")","-1","0","scripterResponse"
"ObjectId(""5a36977b90789136ad075189"")","-1","eug16","ObjectId(""5a36977b90789136ad075189"")","12","-1","scripterPopulation"
"ObjectId(""5a36986190789136ad07518a"")","-1","eug10","ObjectId(""5a36986190789136ad07518a"")","53","-1","scripterPopulation"
"ObjectId(""5a369a1390789136ad07518d"")","-1","eug8","ObjectId(""5a369a1390789136ad07518d"")","-1","0","scripterResponse"
"ObjectId(""5a369c0890789136ad075190"")","226.312541145","eug6","ObjectId(""5a369c0890789136ad075190"")","-1","-1","scripterActivity"
"ObjectId(""5a369e8490789136ad075193"")","-1","eug16","ObjectId(""5a369e8490789136ad075193"")","-1","1.49598063262","scripterResponse"
"ObjectId(""5a369f6a90789136ad075194"")","-1","eug10","ObjectId(""5a369f6a90789136ad075194"")","-1","0","scripterResponse"
"ObjectId(""5a36a11c90789136ad075197"")","178.732638889","eug8","ObjectId(""5a36a11c90789136ad075197"")","-1","-1","scripterActivity"
"ObjectId(""5a36a31090789136ad07519a"")","-1","eug6","ObjectId(""5a36a31090789136ad07519a"")","205","-1","scripterPopulation"
"ObjectId(""5a36a58c90789136ad07519d"")","181.25","eug16","ObjectId(""5a36a58c90789136ad07519d"")","-1","-1","scripterActivity"
"ObjectId(""5a36a67290789136ad07519e"")","168.09129902","eug10","ObjectId(""5a36a67290789136ad07519e"")","-1","-1","scripterActivity"
"ObjectId(""5a36a82590789136ad0751a1"")","-1","eug8","ObjectId(""5a36a82590789136ad0751a1"")","86","-1","scripterPopulation"
"ObjectId(""5a36aa1890789136ad0751a4"")","-1","eug6","ObjectId(""5a36aa1890789136ad0751a4"")","-1","0","scripterResponse"
"ObjectId(""5a36ac9590789136ad0751a7"")","-1","eug16","ObjectId(""5a36ac9590789136ad0751a7"")","9","-1","scripterPopulation"
"ObjectId(""5a36ad7b90789136ad0751a8"")","-1","eug10","ObjectId(""5a36ad7b90789136ad0751a8"")","58","-1","scripterPopulation"
"ObjectId(""5a36af2d90789136ad0751ab"")","-1","eug8","ObjectId(""5a36af2d90789136ad0751ab"")","-1","0","scripterResponse"
"ObjectId(""5a36b12190789136ad0751ae"")","224.509803922","eug6","ObjectId(""5a36b12190789136ad0751ae"")","-1","-1","scripterActivity"
"ObjectId(""5a36b39d90789136ad0751b1"")","-1","eug16","ObjectId(""5a36b39d90789136ad0751b1"")","-1","0.826517121912","scripterResponse"
"ObjectId(""5a36b48490789136ad0751b2"")","-1","eug10","ObjectId(""5a36b48490789136ad0751b2"")","-1","0.068130559995","scripterResponse"
"ObjectId(""5a36b63690789136ad0751b5"")","182.678865132","eug8","ObjectId(""5a36b63690789136ad0751b5"")","-1","-1","scripterActivity"
"ObjectId(""5a36b82990789136ad0751b8"")","-1","eug6","ObjectId(""5a36b82990789136ad0751b8"")","160","-1","scripterPopulation"
"ObjectId(""5a36baa590789136ad0751bb"")","174.699519231","eug16","ObjectId(""5a36baa590789136ad0751bb"")","-1","-1","scripterActivity"
"ObjectId(""5a36bb8c90789136ad0751bc"")","182.638888889","eug10","ObjectId(""5a36bb8c90789136ad0751bc"")","-1","-1","scripterActivity"
"ObjectId(""5a36bd3e90789136ad0751bf"")","-1","eug8","ObjectId(""5a36bd3e90789136ad0751bf"")","72","-1","scripterPopulation"
"ObjectId(""5a36bf3290789136ad0751c2"")","-1","eug6","ObjectId(""5a36bf3290789136ad0751c2"")","-1","0","scripterResponse"
"ObjectId(""5a36c1ae90789136ad0751c5"")","-1","eug16","ObjectId(""5a36c1ae90789136ad0751c5"")","4","-1","scripterPopulation"
"ObjectId(""5a36c29490789136ad0751c6"")","-1","eug10","ObjectId(""5a36c29490789136ad0751c6"")","57","-1","scripterPopulation"
"ObjectId(""5a36c44790789136ad0751c9"")","-1","eug8","ObjectId(""5a36c44790789136ad0751c9"")","-1","0","scripterResponse"
"ObjectId(""5a36c63a90789136ad0751cc"")","215.208333333","eug6","ObjectId(""5a36c63a90789136ad0751cc"")","-1","-1","scripterActivity"
"ObjectId(""5a36c8b690789136ad0751cf"")","-1","eug16","ObjectId(""5a36c8b690789136ad0751cf"")","-1","1.41834412701","scripterResponse"
"ObjectId(""5a36c99d90789136ad0751d0"")","-1","eug10","ObjectId(""5a36c99d90789136ad0751d0"")","-1","0.0249031126324","scripterResponse"
"ObjectId(""5a36cb5090789136ad0751d3"")","171.862934363","eug8","ObjectId(""5a36cb5090789136ad0751d3"")","-1","-1","scripterActivity"
"ObjectId(""5a36cd4390789136ad0751d6"")","-1","eug6","ObjectId(""5a36cd4390789136ad0751d6"")","186","-1","scripterPopulation"
"ObjectId(""5a36cfbe90789136ad0751d9"")","174.739583333","eug16","ObjectId(""5a36cfbe90789136ad0751d9"")","-1","-1","scripterActivity"
"ObjectId(""5a36d0a690789136ad0751da"")","183.917682927","eug10","ObjectId(""5a36d0a690789136ad0751da"")","-1","-1","scripterActivity"
"ObjectId(""5a36d25890789136ad0751dd"")","-1","eug8","ObjectId(""5a36d25890789136ad0751dd"")","57","-1","scripterPopulation"
"ObjectId(""5a36d44c90789136ad0751e0"")","-1","eug6","ObjectId(""5a36d44c90789136ad0751e0"")","-1","0","scripterResponse"
"ObjectId(""5a36d6c790789136ad0751e3"")","-1","eug16","ObjectId(""5a36d6c790789136ad0751e3"")","10","-1","scripterPopulation"
"ObjectId(""5a36d7ae90789136ad0751e4"")","-1","eug10","ObjectId(""5a36d7ae90789136ad0751e4"")","45","-1","scripterPopulation"
"ObjectId(""5a36d96190789136ad0751e7"")","-1","eug8","ObjectId(""5a36d96190789136ad0751e7"")","-1",0,"scripterResponse"
"ObjectId(""5a36d9be90789136ad0751e9"")","-1","eug6","ObjectId(""5a36d9be90789136ad0751e9"")","-1","-1","peterwashington"
"ObjectId(""5a36da2790789136ad0751ea"")","-1","eug8","ObjectId(""5a36da2790789136ad0751ea"")","-1","-1","peterwashington"
"ObjectId(""5a36da8f90789136ad0751eb"")","-1","eug10","ObjectId(""5a36da8f90789136ad0751eb"")","-1","-1","peterwashington"
"ObjectId(""5a36dae490789136ad0751ec"")","-1","eug16","ObjectId(""5a36dae490789136ad0751ec"")","-1","-1","peterwashington"
"ObjectId(""5a36db5490789136ad0751ee"")","212.731626884","eug6","ObjectId(""5a36db5490789136ad0751ee"")","-1","-1","scripterActivity"
"ObjectId(""5a36ddd090789136ad0751f1"")","-1","eug16","ObjectId(""5a36ddd090789136ad0751f1"")","-1","1.33482024404","scripterResponse"
"ObjectId(""5a36deb790789136ad0751f2"")","-1","eug10","ObjectId(""5a36deb790789136ad0751f2"")","-1","0.220271505515","scripterResponse"
"ObjectId(""5a36e06a90789136ad0751f5"")","185.831925676","eug8","ObjectId(""5a36e06a90789136ad0751f5"")","-1","-1","scripterActivity"
"ObjectId(""5a36e25d90789136ad0751f8"")","-1","eug6","ObjectId(""5a36e25d90789136ad0751f8"")","182","-1","scripterPopulation"
"ObjectId(""5a36e4d890789136ad0751fb"")","173.203125","eug16","ObjectId(""5a36e4d890789136ad0751fb"")","-1","-1","scripterActivity"
"ObjectId(""5a36e5bf90789136ad0751fc"")","187.233664773","eug10","ObjectId(""5a36e5bf90789136ad0751fc"")","-1","-1","scripterActivity"
"ObjectId(""5a36e77290789136ad0751ff"")","-1","eug8","ObjectId(""5a36e77290789136ad0751ff"")","70","-1","scripterPopulation"
"ObjectId(""5a36e96590789136ad075202"")","-1","eug6","ObjectId(""5a36e96590789136ad075202"")","-1",0,"scripterResponse"
"ObjectId(""5a36ebe090789136ad075205"")","-1","eug16","ObjectId(""5a36ebe090789136ad075205"")","13","-1","scripterPopulation"
"ObjectId(""5a36ecc890789136ad075206"")","-1","eug10","ObjectId(""5a36ecc890789136ad075206"")","42","-1","scripterPopulation"
"ObjectId(""5a36ee7b90789136ad075209"")","-1","eug8","ObjectId(""5a36ee7b90789136ad075209"")","-1",0,"scripterResponse"
"ObjectId(""5a36f06e90789136ad07520c"")","221.011991279","eug6","ObjectId(""5a36f06e90789136ad07520c"")","-1","-1","scripterActivity"
"ObjectId(""5a36f2e990789136ad07520f"")","-1","eug16","ObjectId(""5a36f2e990789136ad07520f"")","-1","0.00658600659223","scripterResponse"
"ObjectId(""5a36f3d190789136ad075210"")","-1","eug10","ObjectId(""5a36f3d190789136ad075210"")","-1",0,"scripterResponse"
"ObjectId(""5a36f58390789136ad075213"")","189.322916667","eug8","ObjectId(""5a36f58390789136ad075213"")","-1","-1","scripterActivity"
"ObjectId(""5a36f77690789136ad075216"")","-1","eug6","ObjectId(""5a36f77690789136ad075216"")","162","-1","scripterPopulation"
"ObjectId(""5a36f9f190789136ad075219"")","187.65625","eug16","ObjectId(""5a36f9f190789136ad075219"")","-1","-1","scripterActivity"
"ObjectId(""5a36fad990789136ad07521a"")","171.348852041","eug10","ObjectId(""5a36fad990789136ad07521a"")","-1","-1","scripterActivity"
"ObjectId(""5a36fc8b90789136ad07521d"")","-1","eug8","ObjectId(""5a36fc8b90789136ad07521d"")","48","-1","scripterPopulation"
"ObjectId(""5a36fe7e90789136ad075220"")","-1","eug6","ObjectId(""5a36fe7e90789136ad075220"")","-1",0,"scripterResponse"
