"_id","bpu","rating","userId","username"
"ObjectId(""5994c8f78ada34896990f46d"")","eug0","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5994c9718ada34896990f46e"")","eug1","1","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5994c9ba8ada34896990f46f"")","eug3","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5994ca0b8ada34896990f470"")","eug15","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5994ca5e8ada34896990f471"")","eug16","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5994caa78ada34896990f472"")","eug4","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5994caf48ada34896990f473"")","eug5","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5994cb408ada34896990f474"")","eug6","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5994cb8e8ada34896990f475"")","eug7","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5994cc4e8ada34896990f476"")","eug8","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5994cccd8ada34896990f477"")","eug9","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5994cd178ada34896990f478"")","eug10","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5995fe3b8ada34896990f479"")","eug0","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5995ff018ada34896990f47a"")","eug1","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5995ff4f8ada34896990f47b"")","eug3","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5995fff18ada34896990f47c"")","eug15","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599600468ada34896990f47d"")","eug16","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5996008f8ada34896990f47e"")","eug4","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599600dd8ada34896990f47f"")","eug5","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599601328ada34896990f480"")","eug6","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5996017e8ada34896990f481"")","eug7","1","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599601d08ada34896990f482"")","eug8","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599602268ada34896990f483"")","eug9","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5996027b8ada34896990f484"")","eug10","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599627218ada34896990f485"")","eug0","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5997323f8ada34896990f486"")","eug0","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599733088ada34896990f487"")","eug1","2","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5997335f8ada34896990f488"")","eug3","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599733b78ada34896990f489"")","eug15","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5997340c8ada34896990f48a"")","eug16","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599734578ada34896990f48b"")","eug4","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599734a98ada34896990f48c"")","eug5","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599734f68ada34896990f48d"")","eug6","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599735448ada34896990f48e"")","eug7","1","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599735918ada34896990f48f"")","eug8","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599735e88ada34896990f490"")","eug9","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599736398ada34896990f491"")","eug10","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599868ff8ada34896990f492"")","eug0","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5998694f8ada34896990f493"")","eug1","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599869b48ada34896990f494"")","eug3","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59986a208ada34896990f495"")","eug15","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59986b408ada34896990f496"")","eug16","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59986bb28ada34896990f497"")","eug4","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""59986c0c8ada34896990f498"")","eug5","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5998d7598ada34896990f499"")","eug6","1","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5998d7ad8ada34896990f49a"")","eug7","1","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5998d80c8ada34896990f49b"")","eug8","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5998d85a8ada34896990f49c"")","eug9","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""5998d8ba8ada34896990f49d"")","eug10","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599a842f8ada34896990f4a0"")","eug0","3","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599a84c58ada34896990f4a1"")","eug1","1","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599a85a08ada34896990f4a2"")","eug3","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599a85f58ada34896990f4a3"")","eug15","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599a86518ada34896990f4a4"")","eug16","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599a86a48ada34896990f4a5"")","eug4","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599a87058ada34896990f4a6"")","eug5","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599a87818ada34896990f4a7"")","eug6","1","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599a88098ada34896990f4a8"")","eug7","1","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599a88628ada34896990f4a9"")","eug8","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599a89328ada34896990f4aa"")","eug9","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""599a89ac8ada34896990f4ab"")","eug10","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
